epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2054.08,1.77793,2.67939,1.75883,0.68025,0.29859,0.28258,0.11778,1.86669,2.32839,1.94206,0.000475388,0.000475388,0.000475388
2,4077.06,1.77387,2.21184,1.79282,0.71488,0.29412,0.36062,0.1463,1.92058,1.89217,1.9355,0.000932877,0.000932877,0.000932877
3,6058.2,1.78258,2.10277,1.80425,0.35978,0.36382,0.33253,0.12719,2.01055,2.087,2.08549,0.0013715,0.0013715,0.0013715
4,7775.36,1.74796,2.003,1.77435,0.38357,0.35555,0.31736,0.13144,2.01343,2.12682,2.13288,0.00134412,0.00134412,0.00134412
5,9489.42,1.70565,1.9047,1.75714,0.4656,0.41815,0.40482,0.17091,1.89547,1.99263,1.94505,0.00131582,0.00131582,0.00131582
6,11231.9,1.66487,1.81598,1.72708,0.45618,0.49513,0.45474,0.20657,1.78731,1.51563,1.8506,0.00128753,0.00128753,0.00128753
7,12938.8,1.65762,1.76678,1.71472,0.58694,0.50383,0.55378,0.25964,1.76607,1.50733,1.83156,0.00125923,0.00125923,0.00125923
8,14647.1,1.62637,1.70037,1.68463,0.60365,0.46779,0.53995,0.24834,1.81099,1.60364,1.88542,0.00123094,0.00123094,0.00123094
9,16364.7,1.59824,1.64955,1.66946,0.61455,0.5795,0.59482,0.28603,1.69152,1.3931,1.84658,0.00120265,0.00120265,0.00120265
10,18086,1.58296,1.61232,1.65326,0.62642,0.58257,0.60661,0.29516,1.65485,1.33727,1.74144,0.00117435,0.00117435,0.00117435
11,19823.2,1.57636,1.56901,1.63289,0.68075,0.6308,0.67606,0.34255,1.59447,1.28373,1.67824,0.00114606,0.00114606,0.00114606
12,21554.9,1.56386,1.55584,1.62936,0.6654,0.55095,0.63887,0.32045,1.65605,1.31829,1.72458,0.00111776,0.00111776,0.00111776
13,23288.8,1.53861,1.48955,1.6095,0.61565,0.61121,0.62185,0.30265,1.59458,1.20678,1.67131,0.00108947,0.00108947,0.00108947
14,25021.7,1.52243,1.46992,1.60508,0.78449,0.64029,0.73301,0.37893,1.61799,1.15808,1.70753,0.00106118,0.00106118,0.00106118
15,26753.9,1.52976,1.44898,1.60158,0.70298,0.65942,0.71451,0.37071,1.6244,1.11424,1.6728,0.00103288,0.00103288,0.00103288
16,28484.3,1.49049,1.41452,1.58017,0.73972,0.66989,0.74708,0.3951,1.55295,1.12941,1.62985,0.00100459,0.00100459,0.00100459
17,30216.6,1.49524,1.38826,1.57529,0.71216,0.64977,0.69918,0.35512,1.58821,1.12252,1.66158,0.000976293,0.000976293,0.000976293
18,32181.3,1.47987,1.3669,1.56766,0.69448,0.66204,0.69754,0.35566,1.56946,1.10508,1.64678,0.000947999,0.000947999,0.000947999
19,34242.2,1.47213,1.34317,1.5597,0.82347,0.67835,0.76656,0.4157,1.53209,1.04995,1.60262,0.000919704,0.000919704,0.000919704
20,36147.8,1.44984,1.31094,1.54503,0.76963,0.69016,0.768,0.41437,1.55366,1.09222,1.62766,0.00089141,0.00089141,0.00089141
21,37975.6,1.45317,1.29624,1.54369,0.79926,0.72639,0.78641,0.43967,1.53029,0.99914,1.60796,0.000863116,0.000863116,0.000863116
22,39808.2,1.43911,1.27172,1.53779,0.8056,0.71072,0.79393,0.43518,1.51555,0.99473,1.59446,0.000834822,0.000834822,0.000834822
23,41494.3,1.43672,1.26273,1.52849,0.77007,0.74546,0.79286,0.44158,1.52691,1.01209,1.58796,0.000806528,0.000806528,0.000806528
24,43164,1.41868,1.23961,1.52205,0.77476,0.73686,0.77715,0.42985,1.50191,0.9825,1.58078,0.000778233,0.000778233,0.000778233
25,44878.5,1.41798,1.22593,1.5195,0.79471,0.73344,0.80744,0.44,1.49449,0.95234,1.56521,0.000749939,0.000749939,0.000749939
26,46568,1.40324,1.20211,1.50281,0.80107,0.75669,0.8111,0.46064,1.48127,0.94735,1.57315,0.000721645,0.000721645,0.000721645
27,48239.9,1.39471,1.1846,1.49813,0.83772,0.77236,0.82702,0.4572,1.47936,0.93558,1.54674,0.000693351,0.000693351,0.000693351
28,49905,1.39657,1.17271,1.49612,0.79016,0.78676,0.82532,0.46904,1.47023,0.92324,1.53995,0.000665057,0.000665057,0.000665057
29,51570.8,1.37866,1.16186,1.4855,0.80251,0.77553,0.82321,0.45394,1.49113,0.91894,1.568,0.000636762,0.000636762,0.000636762
30,53241.5,1.3702,1.14107,1.4837,0.8159,0.7873,0.83108,0.47384,1.48022,0.90288,1.56969,0.000608468,0.000608468,0.000608468
31,55006.8,1.35824,1.11969,1.47984,0.81926,0.78322,0.83227,0.46277,1.46337,0.87704,1.55342,0.000580174,0.000580174,0.000580174
32,56899.6,1.35296,1.09497,1.46622,0.83224,0.77986,0.83886,0.4768,1.45057,0.85565,1.52642,0.00055188,0.00055188,0.00055188
33,58833,1.34712,1.09026,1.45645,0.83413,0.77592,0.83887,0.46673,1.46707,0.87037,1.53705,0.000523586,0.000523586,0.000523586
34,60800.4,1.33489,1.07621,1.44872,0.82606,0.77139,0.83474,0.46996,1.4708,0.87629,1.54077,0.000495291,0.000495291,0.000495291
35,62596.3,1.32919,1.0611,1.44759,0.86313,0.77436,0.84825,0.4953,1.4434,0.83511,1.5252,0.000466997,0.000466997,0.000466997
36,64307.1,1.32093,1.04238,1.44157,0.83809,0.79646,0.84451,0.47276,1.44563,0.81675,1.5273,0.000438703,0.000438703,0.000438703
37,66019.6,1.3098,1.03504,1.43851,0.83076,0.77979,0.84804,0.49511,1.42855,0.82194,1.517,0.000410409,0.000410409,0.000410409
38,67728.5,1.29601,1.0224,1.42582,0.84264,0.78951,0.85391,0.49697,1.42251,0.80508,1.51481,0.000382115,0.000382115,0.000382115
39,69434,1.29208,1.00947,1.42367,0.8205,0.80171,0.85534,0.49649,1.43457,0.81368,1.51861,0.00035382,0.00035382,0.00035382
40,71141.2,1.28832,0.98806,1.41174,0.86409,0.79209,0.85408,0.49273,1.42847,0.80021,1.51394,0.000325526,0.000325526,0.000325526
41,72828.3,1.3106,0.84332,1.45792,0.8402,0.80341,0.85772,0.49511,1.42446,0.79839,1.50998,0.000297232,0.000297232,0.000297232
42,74513.3,1.29475,0.81563,1.45029,0.85371,0.80377,0.8592,0.5086,1.40706,0.78057,1.50249,0.000268938,0.000268938,0.000268938
43,76201.7,1.26918,0.78147,1.43554,0.85976,0.79647,0.86306,0.50989,1.40673,0.77712,1.50013,0.000240644,0.000240644,0.000240644
44,77891.2,1.26386,0.77657,1.42011,0.83657,0.82204,0.86609,0.51416,1.39492,0.76661,1.49134,0.000212349,0.000212349,0.000212349
45,79576.6,1.24876,0.76149,1.40965,0.86499,0.80418,0.86232,0.50911,1.40491,0.7704,1.49928,0.000184055,0.000184055,0.000184055
46,81266.2,1.23709,0.74783,1.40335,0.84927,0.80279,0.85872,0.50203,1.39645,0.75867,1.49028,0.000155761,0.000155761,0.000155761
47,82951.7,1.22191,0.73543,1.39216,0.86122,0.79448,0.86694,0.51297,1.39449,0.74981,1.4879,0.000127467,0.000127467,0.000127467
48,84639.5,1.2172,0.7409,1.39293,0.86249,0.7982,0.86579,0.51004,1.39407,0.74753,1.48592,9.91726e-05,9.91726e-05,9.91726e-05
49,86325.8,1.20744,0.72199,1.3824,0.8703,0.80962,0.86743,0.5162,1.38825,0.74447,1.48547,7.08784e-05,7.08784e-05,7.08784e-05
50,88010.4,1.19463,0.7085,1.37353,0.87231,0.80175,0.86933,0.51549,1.38936,0.74496,1.48439,4.25842e-05,4.25842e-05,4.25842e-05
